receptorIdentificatie;rekentoolVersie;rekenjaar;naamOverheid;naam;toetspuntSoort;grondslag;opmerking;no2Concentratie;noxSRM1;noxSRM2;no2SRM1DirecteUitstoot;no2SRM2DirecteUitstoot;no2SRMConversiebijdrage;no2AchtergrondConcentratie;no2GCN;no2HWNdubtelcorrectie;no2GCNenEigenCorrectie;o3AchtergrondConcentratie;o3GCN;o3HWNdubtelcorrectie;o3GCNenEigenCorrectie;pm10Concentratie;pm10Overschrijdingsdagen;pm10SRM1;pm10SRM2;pm10AchtergrondConcentratie;pm10GCN;pm10HWNdubtelcorrectie;pm10GCNenEigenCorrectie;pm25Concentratie;pm25SRM1;pm25SRM2;pm25AchtergrondConcentratie;pm25GCN;pm25HWNdubtelcorrectie;pm25GCNenEigenCorrectie;ecConcentratie;ecSRM1;ecSRM2;ecAchtergrondConcentratie;ecGCN;ecHWNdubtelcorrectie;ecGCNenEigenCorrectie;geometrie
27364178_1058474;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.9194;0.0000;4.5480;0.0000;0.6881;1.9833;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.1619;6.0000;0.0000;0.4359;14.7260;-999;-0.2040;0.0000;7.1788;0.0000;0.1328;7.0460;-999;-0.0530;0.0000;0.3700;0.0000;0.0220;0.3480;-999;-0.0300;0.0000;POINT(115256.659310134 489623.860390805)
27364178_1058496;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;11.7716;0.0000;3.8311;0.0000;0.5408;1.2918;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.0194;6.0000;0.0000;0.3434;14.6760;-999;-0.2240;0.0000;7.2914;0.0000;0.1044;7.1870;-999;-0.0560;0.0000;0.3459;0.0000;0.0169;0.3290;-999;-0.0320;0.0000;POINT(113678.002226455 489835.344094512)
27364178_1058587;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.3919;0.0000;4.0031;0.0000;0.5602;1.8927;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.0332;6.0000;0.0000;0.3572;14.6760;-999;-0.2240;0.0000;7.2961;0.0000;0.1091;7.1870;-999;-0.0560;0.0000;0.3470;0.0000;0.0180;0.3290;-999;-0.0320;0.0000;POINT(113858.271338952 489578.151518397)
27364178_1058603;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.7477;0.0000;5.4073;0.0000;0.7938;2.2979;9.6560;-999;-2.3140;0.0000;51.2090;-999;-999;-999;14.4658;6.0000;0.0000;0.5018;13.9640;-999;-0.2760;0.0000;6.9757;0.0000;0.1527;6.8230;-999;-0.0730;0.0000;0.3711;0.0000;0.0251;0.3460;-999;-0.0410;0.0000;POINT(112827.370387105 487916.434473694)
27364178_1058628;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.1715;0.0000;3.1863;0.0000;0.4228;1.0907;10.6580;-999;-1.3820;0.0000;50.4210;-999;-999;-999;14.7581;6.0000;0.0000;0.2711;14.4870;-999;-0.1730;0.0000;7.0222;0.0000;0.0822;6.9400;-999;-0.0440;0.0000;0.3470;0.0000;0.0130;0.3340;-999;-0.0250;0.0000;POINT(114996.42317087 489837.49667096)
27364178_1058645;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.3423;0.0000;7.4728;0.0000;1.0386;2.9397;9.3640;-999;-2.5260;0.0000;51.3970;-999;-999;-999;14.8734;6.0000;0.0000;0.6594;14.2140;-999;-0.3060;0.0000;7.1492;0.0000;0.2012;6.9480;-999;-0.0790;0.0000;0.3790;0.0000;0.0350;0.3440;-999;-0.0450;0.0000;POINT(112797.499696953 488579.364101515)
27364178_1058677;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.1208;0.0000;4.1845;0.0000;0.6256;1.8372;10.6580;-999;-1.3820;0.0000;50.4210;-999;-999;-999;14.8826;6.0000;0.0000;0.3956;14.4870;-999;-0.1730;0.0000;7.0605;0.0000;0.1205;6.9400;-999;-0.0440;0.0000;0.3538;0.0000;0.0198;0.3340;-999;-0.0250;0.0000;POINT(114831.012578791 489639.442743716)
27364178_1058771;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.5307;0.0000;4.4285;0.0000;0.6886;1.5941;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.1615;6.0000;0.0000;0.4355;14.7260;-999;-0.2040;0.0000;7.1787;0.0000;0.1327;7.0460;-999;-0.0530;0.0000;0.3701;0.0000;0.0221;0.3480;-999;-0.0300;0.0000;POINT(115762.528619772 489573.910366072)
27364178_1058805;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.7927;0.0000;5.3537;0.0000;0.7894;2.3473;9.6560;-999;-2.3140;0.0000;51.2090;-999;-999;-999;14.4629;6.0000;0.0000;0.4989;13.9640;-999;-0.2760;0.0000;6.9748;0.0000;0.1518;6.8230;-999;-0.0730;0.0000;0.3708;0.0000;0.0248;0.3460;-999;-0.0410;0.0000;POINT(112736.414124748 487617.716789191)
27364178_1058829;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;14.6562;0.0000;6.3593;0.0000;1.0032;2.0189;11.6340;-999;-4.0460;0.0000;49.4410;-999;-999;-999;15.9211;6.0000;0.0000;0.6341;15.2870;-999;-0.5230;0.0000;7.5318;0.0000;0.1928;7.3390;-999;-0.1350;0.0000;0.3841;0.0000;0.0321;0.3520;-999;-0.0760;0.0000;POINT(119841.01536491 492834.404637654)
27364178_1058858;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.3442;0.0000;6.9125;0.0000;0.9961;2.8841;9.4640;-999;-2.5260;0.0000;51.2970;-999;-999;-999;14.8447;6.0000;0.0000;0.6307;14.2140;-999;-0.3060;0.0000;7.1401;0.0000;0.1921;6.9480;-999;-0.0790;0.0000;0.3761;0.0000;0.0321;0.3440;-999;-0.0450;0.0000;POINT(112857.937038502 488430.886303109)
27364178_1058895;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.2337;0.0000;3.7336;0.0000;0.5044;1.7903;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;14.9993;6.0000;0.0000;0.3233;14.6760;-999;-0.2240;0.0000;7.2859;0.0000;0.0989;7.1870;-999;-0.0560;0.0000;0.3454;0.0000;0.0164;0.3290;-999;-0.0320;0.0000;POINT(113772.311346704 489511.331048921)
27364178_1058949;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.2549;0.0000;6.6634;0.0000;0.9834;2.4155;9.8560;-999;-2.3140;0.0000;51.1090;-999;-999;-999;14.5857;6.0000;0.0000;0.6217;13.9640;-999;-0.2760;0.0000;7.0120;0.0000;0.1890;6.8230;-999;-0.0730;0.0000;0.3768;0.0000;0.0308;0.3460;-999;-0.0410;0.0000;POINT(112454.863270576 487270.445352717)
27364178_1058982;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.3425;0.0000;4.3304;0.0000;0.5658;1.5286;11.2480;-999;-1.6020;0.0000;49.9170;-999;-999;-999;15.0893;6.0000;0.0000;0.3633;14.7260;-999;-0.2040;0.0000;7.1561;0.0000;0.1101;7.0460;-999;-0.0530;0.0000;0.3652;0.0000;0.0172;0.3480;-999;-0.0300;0.0000;POINT(115103.193483504 489799.885353494)
27364178_1059001;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.5690;0.0000;5.9518;0.0000;0.8596;2.2454;9.4640;-999;-2.5260;0.0000;51.2970;-999;-999;-999;14.7582;6.0000;0.0000;0.5442;14.2140;-999;-0.3060;0.0000;7.1138;0.0000;0.1658;6.9480;-999;-0.0790;0.0000;0.3716;0.0000;0.0276;0.3440;-999;-0.0450;0.0000;POINT(112796.552358157 488378.410856296)
27364178_1059035;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;12.5890;0.0000;5.7144;0.0000;0.8407;2.0922;9.6560;-999;-2.3140;0.0000;51.2090;-999;-999;-999;14.4956;6.0000;0.0000;0.5316;13.9640;-999;-0.2760;0.0000;6.9847;0.0000;0.1617;6.8230;-999;-0.0730;0.0000;0.3725;0.0000;0.0265;0.3460;-999;-0.0410;0.0000;POINT(112701.534619233 487696.33094786)
27364178_1059237;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.0737;0.0000;7.5700;0.0000;1.2029;2.2368;11.6340;-999;-4.0460;0.0000;49.4410;-999;-999;-999;16.0468;6.0300;0.0000;0.7598;15.2870;-999;-0.5230;0.0000;7.5700;0.0000;0.2310;7.3390;-999;-0.1350;0.0000;0.3905;0.0000;0.0385;0.3520;-999;-0.0760;0.0000;POINT(119618.896883699 492537.186108205)
27364178_1059314;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;17.0888;0.0000;9.8968;0.0000;1.5615;2.9353;12.5920;-999;-3.9380;0.0000;48.8840;-999;-999;-999;19.0783;6.9000;0.0000;0.9883;18.0900;-999;-0.5100;0.0000;8.5272;0.0000;0.3022;8.2250;-999;-0.1270;0.0000;0.4027;0.0000;0.0507;0.3520;-999;-0.0720;0.0000;POINT(118165.369198605 490273.981321241)
27364178_1059329;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;14.9391;0.0000;3.5536;0.0000;0.5427;1.5194;12.8770;-999;-1.5830;0.0000;48.6510;-999;-999;-999;15.8179;6.0000;0.0000;0.3539;15.4640;-999;-0.2060;0.0000;7.5968;0.0000;0.1078;7.4890;-999;-0.0530;0.0000;0.3879;0.0000;0.0179;0.3700;-999;-0.0300;0.0000;POINT(117732.099704522 489649.775622825)
27364178_1059383;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.2623;0.0000;6.6440;0.0000;0.9820;2.4244;9.8560;-999;-2.3140;0.0000;51.1090;-999;-999;-999;14.5847;6.0000;0.0000;0.6207;13.9640;-999;-0.2760;0.0000;7.0116;0.0000;0.1886;6.8230;-999;-0.0730;0.0000;0.3768;0.0000;0.0308;0.3460;-999;-0.0410;0.0000;POINT(112320.251242592 487128.935387726)
27364178_1059459;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;13.1035;0.0000;5.2229;0.0000;0.7765;2.3880;9.9390;-999;-1.8700;0.0000;51.0670;-999;-999;-999;15.1666;6.0000;0.0000;0.4906;14.6760;-999;-0.2240;0.0000;7.3366;0.0000;0.1496;7.1870;-999;-0.0560;0.0000;0.3536;0.0000;0.0246;0.3290;-999;-0.0320;0.0000;POINT(113926.073892041 489640.375947376)
27364178_1059776;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;14.2827;0.0000;8.5586;0.0000;1.4486;3.3281;9.5060;-999;-5.6540;0.0000;50.2760;-999;-999;-999;14.4278;6.0000;0.0000;0.9228;13.5050;-999;-0.7550;0.0000;7.2301;0.0000;0.2801;6.9500;-999;-0.1950;0.0000;0.3761;0.0000;0.0461;0.3300;-999;-0.1090;0.0000;POINT(124700.685801588 478941.847953418)
27364178_1059957;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.4718;0.0000;8.2009;0.0000;1.4115;2.7183;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;14.8444;6.0000;0.0000;0.8954;13.9490;-999;-0.4210;0.0000;7.3254;0.0000;0.2714;7.0540;-999;-0.1070;0.0000;0.3896;0.0000;0.0446;0.3450;-999;-0.0600;0.0000;POINT(124720.590614699 479111.635507441)
27364178_1060056;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.2890;0.0000;7.8147;0.0000;1.3426;2.6044;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;14.7988;6.0000;0.0000;0.8498;13.9490;-999;-0.4210;0.0000;7.3117;0.0000;0.2577;7.0540;-999;-0.1070;0.0000;0.3874;0.0000;0.0424;0.3450;-999;-0.0600;0.0000;POINT(124623.890198846 479125.885089393)
27364178_1060098;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;14.6564;0.0000;9.4780;0.0000;1.6015;3.5489;9.5060;-999;-5.6540;0.0000;50.2760;-999;-999;-999;14.5235;6.0000;0.0000;1.0185;13.5050;-999;-0.7550;0.0000;7.2592;0.0000;0.3092;6.9500;-999;-0.1950;0.0000;0.3809;0.0000;0.0509;0.3300;-999;-0.1090;0.0000;POINT(124645.20928611 478853.810383978)
27364178_1060292;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;24.4579;2.0135;26.1000;0.1821;4.6333;9.0456;10.5970;-999;-1.1030;0.0000;49.6660;-999;-999;-999;16.6465;6.0000;0.1768;2.8897;13.5800;-999;-0.1400;0.0000;7.8122;0.0484;0.8739;6.8900;-999;-0.0410;0.0000;0.5002;0.0083;0.1428;0.3490;-999;-0.0230;0.0000;POINT(128228.056997893 480935.859293098)
27364178_1060366;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;16.7227;0.0000;11.0128;0.0000;1.7251;3.4006;11.5970;-999;-4.7730;0.0000;49.1720;-999;-999;-999;14.8745;6.0000;0.0000;1.0915;13.7830;-999;-0.6170;0.0000;7.3558;0.0000;0.3328;7.0230;-999;-0.1550;0.0000;0.4264;0.0000;0.0554;0.3710;-999;-0.0870;0.0000;POINT(126503.309048204 486133.183227073)
27364178_1060511;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.9183;2.6507;6.5535;0.3721;1.1135;3.0907;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;15.0172;6.0000;0.3570;0.7112;13.9490;-999;-0.4210;0.0000;7.3578;0.0881;0.2157;7.0540;-999;-0.1070;0.0000;0.3931;0.0126;0.0355;0.3450;-999;-0.0600;0.0000;POINT(124969.117807815 479102.838567955)
27364178_1060601;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;16.5389;2.1608;8.0648;0.3034;1.3731;3.5204;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;15.1269;6.0000;0.2910;0.8869;13.9490;-999;-0.4210;0.0000;7.3946;0.0718;0.2688;7.0540;-999;-0.1070;0.0000;0.3994;0.0103;0.0442;0.3450;-999;-0.0600;0.0000;POINT(124909.859810679 479183.967247348)
27364178_1060761;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.6424;0.0000;11.6074;0.0000;1.9635;4.1728;9.5060;-999;-5.6540;0.0000;50.2760;-999;-999;-999;14.7479;6.0000;0.0000;1.2429;13.5050;-999;-0.7550;0.0000;7.3274;0.0000;0.3774;6.9500;-999;-0.1950;0.0000;0.3920;0.0000;0.0620;0.3300;-999;-0.1090;0.0000;POINT(124613.436540391 478754.483874776)
27364178_1060845;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.2528;0.0000;6.9114;0.0000;1.1781;2.7327;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;14.6975;6.0000;0.0000;0.7485;13.9490;-999;-0.4210;0.0000;7.2810;0.0000;0.2270;7.0540;-999;-0.1070;0.0000;0.3823;0.0000;0.0373;0.3450;-999;-0.0600;0.0000;POINT(124875.186834704 479051.741439994)
27364178_1060905;2021-rbl_20210416_b450dd4f12;2030;Ministerie van IenW-Rijkswaterstaat;Rijkswaterstaat;Alle;0;;15.7743;0.0000;7.9062;0.0000;1.3482;3.0841;11.3420;-999;-3.0680;0.0000;49.2300;-999;-999;-999;14.8050;6.0000;0.0000;0.8560;13.9490;-999;-0.4210;0.0000;7.3137;0.0000;0.2597;7.0540;-999;-0.1070;0.0000;0.3877;0.0000;0.0427;0.3450;-999;-0.0600;0.0000;POINT(124777.4348788 479009.773367199)
34366966_1088862;2021-rbl_20210416_b450dd4f12;2030;Gemeente Amsterdam;L Radarweg,Amsterdam;Alle;0;;17.0227;5.9149;4.1607;0.5125;0.6457;2.9875;12.8770;-999;-1.5830;0.0000;48.6510;-999;-999;-999;16.3054;6.0100;0.4268;0.4146;15.4640;-999;-0.2060;0.0000;7.7388;0.1235;0.1262;7.4890;-999;-0.0530;0.0000;0.4116;0.0206;0.0210;0.3700;-999;-0.0300;0.0000;POINT(117472 489538.504900731)
34366966_1088864;2021-rbl_20210416_b450dd4f12;2030;Gemeente Amsterdam;R Derkinderenstraat,Amsterdam;Alle;0;;14.4082;1.9172;2.9568;0.2245;0.4402;1.6556;12.0880;-999;-2.5220;0.0000;49.0650;-999;-999;-999;16.0606;6.0300;0.2026;0.3240;15.5340;-999;-0.3660;0.0000;8.2749;0.0530;0.0980;8.1240;-999;-0.0920;0.0000;0.4370;0.0083;0.0157;0.4130;-999;-0.0520;0.0000;POINT(117776 486111.5)
34366966_1088865;2021-rbl_20210416_b450dd4f12;2030;Gemeente Amsterdam;R Derkinderenstraat,Amsterdam;Alle;0;;15.3772;2.6805;3.0870;0.3386;0.4590;1.8605;12.7190;-999;-2.8210;0.0000;48.7020;-999;-999;-999;15.8867;6.0000;0.3102;0.3385;15.2380;-999;-0.4120;0.0000;8.0616;0.0792;0.1025;7.8800;-999;-0.1050;0.0000;0.4285;0.0121;0.0164;0.4000;-999;-0.0590;0.0000;POINT(117776 485942.5)
34366966_1088866;2021-rbl_20210416_b450dd4f12;2030;Gemeente Amsterdam;L ,;Alle;0;;16.9625;6.8006;2.4768;0.7462;0.3647;2.5526;13.2990;-999;-0.7010;0.0000;48.4550;-999;-999;-999;17.4502;6.1200;0.8190;0.2692;16.3620;-999;-0.0880;0.0000;9.0268;0.2073;0.0815;8.7380;-999;-0.0260;0.0000;0.5105;0.0313;0.0132;0.4660;-999;-0.0140;0.0000;POINT(118176 485730.900000095)
